Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Greece,30.05,29.43,29.25,30.47,31.07,31.56,32.84,33.23,33.78,33.32,34.29,34.57,34.57,34.44,34.54,33.93,33.88,33.75,36.13,35.7,36.1,35.18,35.35,34.67,34.46,33.83,33.6,33.23,33.51
Grenada,6.09,6.06,6.03,6.0,5.97,5.94,5.91,5.88,5.85,5.84,5.81,5.79,5.76,5.73,5.7,5.64,5.61,5.58,5.55,5.52,5.46,5.43,5.4,5.34,5.31,5.28,5.25,5.19,5.16
Guatemala,39.15,39.04,38.71,38.13,37.27,36.51,35.82,35.25,35.09,34.6,33.21,32.58,31.1,31.56,29.63,30.5,29.38,28.48,30.07,27.7,28.99,25.24,24.57,22.95,22.48,22.43,21.3,20.16,19.47
Guinea,55.98,55.5,54.9,51.16,49.9,48.35,46.9,43.91,41.16,35.75,34.65,33.64,32.91,32.24,29.91,29.65,29.16,27.29,26.63,25.81,26.29,24.07,23.28,23.88,23.08,22.25,21.52,20.86,20.2
Guinea-Bissau,4.85,4.84,4.78,4.92,4.58,4.63,4.83,4.28,4.41,4.19,4.04,4.26,4.24,3.88,3.89,3.93,3.87,3.73,3.54,3.91,3.37,2.98,2.96,3.31,3.25,3.2,3.17,3.09,3.09
Guyana,4.71,4.87,4.44,5.34,5.15,4.73,4.3,4.22,4.07,3.88,3.76,3.49,3.4,3.52,3.7,4.08,3.5,3.84,3.69,4.34,4.4,4.4,4.24,4.23,3.65,3.69,3.33,3.15,2.55
Haiti,14.42,14.33,14.24,14.0,13.85,13.81,13.7,13.59,13.47,13.34,13.21,13.16,13.01,12.98,12.87,12.82,12.7,12.58,12.46,11.76,11.59,11.48,11.01,10.86,10.7,10.69,11.01,9.88,9.35
Honduras,25.7,25.18,25.3,24.83,24.97,24.66,24.06,24.39,23.87,23.71,22.78,22.35,22.02,22.8,21.26,22.34,19.19,17.89,18.35,18.79,21.49,22.5,23.24,24.16,24.59,23.37,24.29,24.14,23.92
Hungary,22.74,22.81,22.99,22.96,23.25,23.85,24.45,24.9,25.45,25.47,25.46,25.82,26.26,26.68,27.5,29.0,28.06,28.53,28.7,28.16,27.99,28.75,29.15,28.42,30.58,32.3,33.9,38.13,38.32
Iceland,1.59,1.62,1.64,1.68,1.65,1.62,1.61,1.71,1.81,1.8,1.8,1.84,1.83,1.69,1.72,1.71,1.71,1.73,1.72,1.75,1.72,1.69,1.69,1.65,1.64,1.61,1.57,1.55,1.54
India,2104.27,2091.02,2076.89,2059.07,2066.01,2067.41,2062.86,2068.15,2062.46,2044.06,2053.73,2030.88,1989.08,1958.23,1912.93,1883.75,1850.5,1863.37,1844.49,1832.37,1808.05,1778.11,1757.93,1731.47,1708.3,1692.04,1673.41,1657.53,1638.6
Indonesia,996.41,901.1,897.72,1111.1,1071.94,887.93,890.69,897.29,833.23,1027.7,859.2,881.53,1169.41,1003.88,1158.95,1010.91,1207.2,998.74,1024.54,1058.62,1152.96,1534.55,1057.53,1154.15,1150.34,1138.29,1128.93,1099.54,1088.47
Iran,550.85,536.9,525.61,510.44,512.51,532.09,537.42,541.71,549.15,524.98,500.61,484.98,461.49,437.8,412.69,387.77,363.26,340.51,317.19,308.44,298.75,285.7,274.54,261.45,249.25,242.35,235.78,224.94,220.45
Iraq,52.36,51.11,49.61,48.15,50.44,49.01,48.42,46.63,44.5,43.43,40.54,39.39,37.99,36.72,34.93,33.69,35.45,34.72,34.52,33.47,32.55,30.83,28.59,29.57,30.18,29.85,28.02,26.64,29.93
Ireland,50.7,50.54,49.71,47.81,47.0,45.98,44.78,43.47,43.46,44.98,45.8,46.52,48.49,48.64,50.08,53.58,51.21,51.56,51.31,49.86,49.77,48.47,48.51,48.55,48.44,48.4,48.03,47.95,47.11
Israel,39.58,39.05,38.57,38.13,35.57,33.05,30.5,28.0,25.49,25.48,24.92,24.58,24.03,22.81,21.03,19.5,23.36,27.31,31.19,30.97,30.75,30.5,30.32,29.39,28.55,27.63,26.79,25.92,25.15
Italy,138.5,140.68,141.73,143.04,143.66,146.81,152.88,149.69,157.2,156.5,157.44,156.44,156.04,159.68,159.4,163.61,165.06,165.21,171.62,170.02,170.74,171.98,170.83,169.46,170.64,170.27,171.98,171.98,174.97
Jamaica,2.39,2.42,2.45,2.54,2.53,2.56,2.56,2.55,2.52,2.52,2.55,2.56,2.66,3.32,3.39,3.57,3.44,3.44,3.44,3.4,3.36,3.33,3.38,3.49,3.44,3.53,3.56,3.4,3.27
Japan,65.52,65.89,66.57,68.0,70.05,71.7,72.65,73.66,77.5,78.35,79.92,81.93,82.95,84.02,84.95,85.12,86.6,89.45,93.51,95.48,97.14,101.79,104.19,108.96,112.8,114.12,116.56,117.36,119.9
Jordan,19.23,18.82,18.48,17.71,17.25,16.64,16.1,15.66,15.15,14.73,14.54,13.8,13.18,12.85,12.39,12.07,11.73,11.36,11.05,14.35,17.42,20.69,23.95,27.16,30.24,29.24,27.91,26.34,24.84
Kazakhstan,144.21,150.18,140.65,141.6,146.66,146.39,148.11,144.56,145.63,127.94,137.9,126.12,125.58,116.44,117.89,111.11,110.49,102.41,93.1,81.82,94.48,102.96,114.81,128.09,149.0,156.22,168.86,186.83,181.66
Kenya,131.84,126.84,132.26,124.4,121.18,118.06,117.74,116.49,112.46,110.93,113.43,111.08,78.04,78.23,79.71,76.07,72.67,70.38,70.59,73.61,69.3,67.5,66.33,68.25,68.26,67.84,67.86,67.89,69.81
